Filename,peo_su8_00_000_0
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,12/12/2019
Sample name,OSKT 000_PEO_SU8
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
-7.85323e-4,6.69562e-3,-0.117289,3.60451,20.02,-53.9157,-0.0762215,20.0160,-1202630,3.60451,-0.0444090,1.16504e-4
-1.04340e-3,7.34567e-3,-0.142044,10.5513,20.02,-54.7094,-0.0773436,20.0240,-1013910,10.5513,-0.0590031,1.27814e-4
-9.41986e-4,8.22783e-3,-0.114488,17.5637,20.02,-54.6598,-0.0772735,20.0304,-807416,17.5637,-0.0532681,1.43164e-4
-1.30385e-3,9.27781e-3,-0.140534,24.5760,20.02,-54.1203,-0.0765108,20.0317,-628738,24.5760,-0.0737308,1.61434e-4
-1.37316e-3,0.0103035,-0.133271,31.5228,20.01,-54.4926,-0.0770372,20.0270,-513295,31.5228,-0.0776503,1.79281e-4
-1.15737e-3,0.0115210,-0.100457,38.4697,20.01,-54.8098,-0.0774856,20.0313,-412931,38.4697,-0.0654477,2.00465e-4
-8.14775e-4,0.0128949,-0.0631859,45.4820,20.00,-54.2460,-0.0766884,20.0317,-326237,45.4820,-0.0460744,2.24370e-4
-5.03702e-4,0.0144693,-0.0348118,52.4944,20.01,-54.7880,-0.0774547,20.0290,-261693,52.4944,-0.0284837,2.51765e-4
-2.18259e-4,0.0161266,-0.0135341,59.4412,20.00,-54.8828,-0.0775888,20.0286,-211033,59.4412,-0.0123423,2.80602e-4
4.18074e-4,0.0180395,0.0179112,66.3880,20.00,-54.8151,-0.0774931,20.0242,-168442,66.3880,0.0236415,3.13887e-4
8.55304e-4,0.0202865,0.0699493,73.4004,20.00,-55.1642,-0.0779866,20.0156,-134043,73.4004,0.0483663,3.52984e-4
1.18940e-3,0.0226773,0.0756779,80.4127,20.00,-55.0471,-0.0778210,20.0074,-107041,80.4127,0.0672592,3.94584e-4
1.78189e-3,0.0253753,0.0799951,87.3595,20.00,-55.1027,-0.0778996,20.0151,-85575.6,87.3595,0.100763,4.41529e-4
2.60660e-3,0.0283947,0.0829166,94.3063,20.00,-54.9395,-0.0776689,20.0292,-68141.2,94.3063,0.147400,4.94067e-4
1.81736e-3,0.0318570,0.0845173,101.253,20.00,-55.1707,-0.0779958,20.0280,-54362.6,101.253,0.102769,5.54310e-4
1.95700e-3,0.0355876,0.0850637,108.266,20.00,-55.2342,-0.0780855,20.0336,-43612.5,108.266,0.110666,6.19223e-4
2.88787e-3,0.0398448,0.0845962,115.278,20.00,-54.2864,-0.0767456,20.0281,-34193.8,115.278,0.163305,6.93298e-4
4.13812e-3,0.0445938,0.0833442,122.225,20.00,-54.5236,-0.0770809,20.0287,-27418.0,122.225,0.234005,7.75930e-4
5.27941e-3,0.0499000,0.0814864,129.171,20.00,-54.5211,-0.0770773,20.0273,-21895.9,129.171,0.298544,8.68258e-4
6.41421e-3,0.0559173,0.0791339,136.184,20.01,-54.7793,-0.0774424,20.0293,-17519.6,136.184,0.362715,9.72958e-4
7.24268e-3,0.0625023,0.0765410,143.196,20.00,-54.4737,-0.0770104,20.0265,-13944.2,143.196,0.409564,1.08754e-3
8.64587e-3,0.0699327,0.0737275,150.143,20.00,-55.5382,-0.0785153,20.0144,-11356.2,150.143,0.488912,1.21683e-3
0.0102121,0.0782733,0.0708090,157.090,20.00,-55.1101,-0.0779100,20.0207,-8995.05,157.090,0.577481,1.36195e-3
0.0118586,0.0875549,0.0678833,164.037,20.00,-54.7585,-0.0774129,20.0190,-7143.16,164.037,0.670586,1.52345e-3
0.0141783,0.0980876,0.0649515,171.049,20.00,-54.4573,-0.0769872,20.0221,-5660.14,171.049,0.801765,1.70672e-3
0.0161384,0.109874,0.0620992,178.061,20.00,-54.5882,-0.0771723,20.0289,-4521.80,178.061,0.912602,1.91180e-3
0.0183456,0.122919,0.0593778,185.008,20.00,-54.8569,-0.0775521,20.0266,-3630.70,185.008,1.03742,2.13879e-3
0.0205611,0.137523,0.0567658,191.955,20.00,-54.4770,-0.0770151,20.0234,-2880.46,191.955,1.16270,2.39290e-3
0.0220685,0.154048,0.0542432,198.967,20.00,-54.8088,-0.0774841,20.0307,-2309.61,198.967,1.24794,2.68043e-3
0.0236392,0.172509,0.0518549,205.980,20.00,-54.8855,-0.0775926,20.0321,-1844.31,205.980,1.33677,3.00165e-3
0.0259332,0.193023,0.0496200,212.926,20.00,-54.8822,-0.0775879,20.0240,-1473.04,212.926,1.46649,3.35859e-3
0.0283556,0.215931,0.0475144,219.873,20.00,-54.8020,-0.0774745,20.0265,-1175.35,219.873,1.60347,3.75719e-3
0.0306793,0.241846,0.0455093,226.886,20.00,-54.7403,-0.0773873,20.0340,-935.900,226.886,1.73487,4.20811e-3
0.0330822,0.270834,0.0436303,233.898,20.00,-55.0350,-0.0778039,20.0251,-750.294,233.898,1.87075,4.71251e-3
0.0350377,0.303002,0.0418831,240.845,20.00,-54.7018,-0.0773329,20.0208,-595.814,240.845,1.98133,5.27222e-3
0.0370845,0.339048,0.0402362,247.792,20.00,-54.6478,-0.0772565,20.0185,-475.389,247.792,2.09708,5.89943e-3
0.0387282,0.379232,0.0387033,254.738,20.00,-55.2841,-0.0781561,20.0316,-384.406,254.738,2.19003,6.59863e-3
0.0403007,0.424751,0.0372458,261.751,20.00,-55.0517,-0.0778275,20.0247,-305.142,261.751,2.27895,7.39066e-3
0.0420719,0.475590,0.0358851,268.763,20.00,-54.8403,-0.0775287,20.0251,-242.457,268.763,2.37911,8.27524e-3
0.0436745,0.532133,0.0346172,275.710,20.00,-54.8560,-0.0775509,20.0353,-193.724,275.710,2.46973,9.25910e-3
0.0212895,0.595602,0.0334245,282.657,20.00,-54.5620,-0.0771352,20.0311,-153.808,282.657,1.20389,0.0103634
0.0152031,0.666695,0.0323046,289.669,20.01,-54.6011,-0.0771905,20.0279,-122.842,289.669,0.859716,0.0116005
0.0162082,0.746615,0.0318528,296.681,20.00,-54.8707,-0.0775716,20.0299,-98.4343,296.681,0.916554,0.0129911
0.0172318,0.835297,0.0313094,303.628,20.00,-55.1528,-0.0779704,20.0276,-79.0471,303.628,0.974436,0.0145341
0.0184870,0.934459,0.0306340,310.575,20.00,-54.9582,-0.0776953,20.0159,-62.9378,310.575,1.04542,0.0162596
0.0198882,1.04647,0.0298343,317.587,20.00,-54.9124,-0.0776306,20.0196,-50.1434,317.587,1.12465,0.0182086
0.0215051,1.17191,0.0292751,324.600,20.00,-55.2446,-0.0781002,20.0276,-40.2257,324.600,1.21609,0.0203911
0.0235123,1.31101,0.0287548,331.547,20.00,-55.4057,-0.0783279,20.0297,-32.2359,331.547,1.32959,0.0228116
0.0259279,1.46661,0.0281201,338.493,20.00,-55.3886,-0.0783038,20.0273,-25.7507,338.493,1.46619,0.0255190
0.0286996,1.64089,0.0273902,345.440,20.00,-56.0173,-0.0791926,20.0248,-20.8047,345.440,1.62292,0.0285515
0.0321077,1.83754,0.0266145,352.453,20.00,-55.7124,-0.0787616,20.0175,-16.4999,352.453,1.81565,0.0319730
0.0359881,2.05793,0.0258269,359.465,20.00,-55.6235,-0.0786358,20.0222,-13.1340,359.465,2.03508,0.0358080
0.0404697,2.30205,0.0250694,366.412,20.00,-55.5021,-0.0784642,20.0154,-10.4732,366.412,2.28851,0.0400555
0.0454683,2.57547,0.0243075,373.359,20.00,-55.5257,-0.0784976,20.0261,-8.37108,373.359,2.57117,0.0448131
0.0514439,2.88419,0.0232923,380.371,20.00,-55.8476,-0.0789526,20.0375,-6.71362,380.371,2.90908,0.0501848
0.0581242,3.22981,0.0223001,387.383,20.00,-55.8331,-0.0789321,20.0280,-5.35227,387.383,3.28684,0.0561985
0.0650171,3.61343,0.0213340,394.330,20.00,-56.8202,-0.0803277,20.0154,-4.35175,394.330,3.67663,0.0628735
0.0724977,4.04227,0.0204077,401.277,20.00,-56.9210,-0.0804701,20.0186,-3.48354,401.277,4.09965,0.0703354
0.0798270,4.52216,0.0195237,408.224,20.00,-56.2900,-0.0795780,20.0185,-2.75257,408.224,4.51411,0.0786855
0.0875730,5.06442,0.0186827,415.236,20.00,-57.1466,-0.0807891,20.0332,-2.22809,415.236,4.95214,0.0881207
0.0988125,5.67140,0.0179031,422.248,20.00,-57.1943,-0.0808565,20.0272,-1.77817,422.248,5.58771,0.0986821
0.113138,6.34468,0.0171890,429.195,20.00,-57.7110,-0.0815870,20.0261,-1.43364,429.195,6.39780,0.110397
0.125499,7.09781,0.0165304,436.142,20.00,-57.2141,-0.0808845,20.0333,-1.13568,436.142,7.09681,0.123502
0.139759,7.94898,0.0159251,443.154,20.00,-57.8565,-0.0817928,20.0195,-0.915650,443.154,7.90320,0.138312
0.157252,8.90184,0.0153815,450.167,20.00,-58.4898,-0.0826880,20.0322,-0.738109,450.167,8.89241,0.154892
0.175982,9.95848,0.0149049,457.114,20.00,-58.5954,-0.0828373,20.0187,-0.590850,457.114,9.95154,0.173277
0.194615,11.1406,0.0144946,464.060,20.00,-58.5297,-0.0827444,20.0325,-0.471584,464.060,11.0052,0.193846
0.220426,12.4765,0.0141502,471.073,20.00,-58.5028,-0.0827065,20.0252,-0.375830,471.073,12.4648,0.217091
0.245760,13.9720,0.0138789,478.085,20.00,-59.2243,-0.0837264,20.0192,-0.303376,478.085,13.8974,0.243113
0.275476,15.6306,0.0136855,485.032,20.00,-60.1670,-0.0850591,20.0273,-0.246267,485.032,15.5778,0.271972
0.307157,17.4860,0.0135728,491.979,19.99,-59.0106,-0.0834243,20.0287,-0.192996,491.979,17.3693,0.304256
0.343915,19.5617,0.0135483,498.926,20.01,-59.8715,-0.0846413,20.0230,-0.156461,498.926,19.4479,0.340373
0.384822,21.9074,0.0135458,505.938,20.00,-59.7908,-0.0845273,20.0393,-0.124581,505.938,21.7611,0.381189
0.431452,24.5334,0.0135352,512.950,20.00,-60.3411,-0.0853052,20.0301,-0.100253,512.950,24.3980,0.426880
0.482061,27.4457,0.0135349,519.897,20.00,-60.3949,-0.0853813,20.0326,-0.0801772,519.897,27.2599,0.477555
0.539557,30.7036,0.0135408,526.844,20.00,-60.8022,-0.0859571,20.0259,-0.0644973,526.844,30.5113,0.534241
0.603791,34.3854,0.0135503,533.856,20.00,-61.4258,-0.0868386,20.0292,-0.0519520,533.856,34.1436,0.598305
0.675802,38.5071,0.0135597,540.869,20.00,-61.0905,-0.0863647,20.0196,-0.0411994,540.869,38.2157,0.670023
0.756340,43.0781,0.0135655,547.815,20.00,-62.0436,-0.0877121,20.0114,-0.0334337,547.815,42.7700,0.749557
0.845483,48.1917,0.0135667,554.762,20.00,-60.9535,-0.0861710,20.0138,-0.0262455,554.762,47.8109,0.838534
0.945607,53.9123,0.0135633,561.709,20.00,-61.9098,-0.0875229,20.0168,-0.0213002,561.709,53.4728,0.938072
1.05850,60.3770,0.0135537,568.721,20.00,-62.0033,-0.0876552,20.0190,-0.0170087,568.721,59.8566,1.05056
1.18532,67.6142,0.0135412,575.734,20.00,-62.0983,-0.0877894,20.0281,-0.0135832,575.734,67.0284,1.17649
1.32564,75.6405,0.0135264,582.681,20.00,-63.0523,-0.0891381,20.0293,-0.0110203,582.681,74.9634,1.31614
1.48224,84.6194,0.0135125,589.627,20.00,-61.3649,-0.0867526,20.0251,-8.56999e-3,589.627,83.8189,1.47237
1.65592,94.5622,0.0135338,596.509,20.00,-63.5595,-0.0898551,20.0309,-7.10797e-3,596.509,93.6403,1.64538

