$_{master} \omega_{210째C}$,$_{master} {G^{\prime\prime}(\omega)}_{210째C}$,$_{master} \omega_{200째C}$,$_{master} {G^{\prime\prime}(\omega)}_{200째C}$
0.01897776,1523.4134999999999,0.021562262294314214,1527.9200039177415
0.03374688,2200.1490000000003,0.038342727391153984,2206.6573971542302
0.04250748,2433.0570000000002,0.04829639711063453,2440.2543767480656
0.06001056,3094.2870000000003,0.06818314886207227,3103.4404022037465
0.07558896999999999,3402.4100000000003,0.08588311780194544,3412.474879952005
0.10671383999999999,4366.698,0.12124675454392297,4379.6154000654415
0.1344173,4839.065,0.15272303367170423,4853.379738172338
0.1897656,6128.2725,0.21560898871299422,6146.400922801976
0.23903019999999997,6774.724000000001,0.2715827299250483,6794.764731060621
0.28121199999999996,7445.87,0.3195090940294686,7467.89608965064
0.3004622,8088.366000000001,0.3413808987955742,8112.292696899515
0.33745439999999993,8515.1115,0.38341091283536227,8540.300579218976
0.42505184999999995,9363.475,0.48293789564118733,9391.173675882272
0.500061,10253.4,0.5681622301661028,10283.731218195304
0.5343027999999999,11164.560000000001,0.6070672786559902,11197.586577078293
0.6000732,11778.795,0.6817946761993233,11813.638583711037
0.7558642,12870.770000000002,0.8588022052803901,12908.843822655079
0.889252,14030.4,1.0103555356239884,14071.904196048861
0.9501158999999999,15269.320000000002,1.0795082373155953,15314.489122107198
1.0671024,16044.84,1.2124266427487862,16092.303235897238
1.3441305,17515.63,1.5271820488186016,17567.444070977257
1.58133,18996.1,1.7966847633160021,19052.293541065384
1.6895788,20616.75,1.919675517685578,20677.737686301913
1.8975959999999998,21618.765,2.1560217159792026,21682.71680899292
2.3902085,23521.850000000002,2.715721065873914,23591.43144271239
2.81201,25403.8,3.1949659598516638,25478.948555678104
3.0045269999999995,27514.08,3.4137010503004035,27595.47110577204
3.374412,28736.4,3.8339591518219964,28821.406926341268
4.2504165,31233.840000000004,4.829263065455617,31326.23475843303
5.00049,33575.1,5.6814859593595495,33674.42058478447
5.3428189999999995,36252.810000000005,6.0704353237181605,36360.05168473901
6.000588,37641.87,6.817783151231459,37753.220749239204
7.5582765,40894.590000000004,8.587606776877314,41015.56282192224
8.89209,43587.8,10.10306679632625,43716.739773387686
9.500931,46977.700000000004,10.794823322783143,47116.66764673314
10.670508,48533.1,12.1236801555915,48676.668771899516
13.440624999999999,52671.630000000005,15.271047881810969,52827.441214058985
15.8125,55798.1,17.965938684483493,55963.15981879019
16.894970999999998,59959.68000000001,19.195826913019875,60137.050446583635
18.974999999999998,61472.145000000004,21.559126421380192,61653.98956306478
23.900895,66677.38,27.155858597582807,66874.62249141467
28.1187,70188.5,31.948068938332714,70396.12895315711
30.04375,74950.48000000001,34.13528350051864,75172.1956614121
33.74244,76345.185,38.33768272599926,76571.02642473676
42.50169999999999,82735.18000000001,48.28982995644661,82979.92406509137
50.001999999999995,86653.8,56.81156465464308,86910.1359778466
53.425529999999995,92015.99,60.701330982832154,92288.18820451235
60.002399999999994,92915.235,68.17387758557169,93190.09331689517
75.5786,100774.96000000002,85.87133555472596,101073.0686566781
88.916,105000.0,101.02510065261878,105310.6070094317
95.00379999999998,110598.40000000001,107.94197284382183,110925.5679835422
106.69919999999999,110763.45000000001,121.23012078314252,111091.10622817941
134.39945,120453.3,152.70275275435924,120809.62037418266
158.11700000000002,124870.0,179.6502973580697,125239.38568826414
168.94039999999998,130040.90000000001,191.94769123997565,130425.58204812197
189.74040000000002,129436.65000000001,215.58035682968364,129819.54457873674
238.99620000000002,141611.80000000002,271.54409960629596,142030.71064474515
281.172,146049.0,319.4636465956423,146481.03660114753
300.4223,149901.40000000002,341.3355649803324,150344.8326244155
337.4064,148797.6,383.35637591477075,149237.76740520584
425.0,165566.5,482.87898440508997,166056.2725278769
500.0,169359.0,568.0929228295176,169859.99135724135
534.2268,170086.40000000002,606.9809285317203,170589.54312427624
600.0,170824.5,681.7115073954211,171329.82654364442
950.0,192801.40000000002,1079.3765533760834,193371.7377739833
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
